rendszam,ido_mp,osszeg_eur,fizetesi_mod
ABC-123,320,6.40,kártya
XYZ-987,540,10.80,készpénz
QWE-456,1200,24.00,utalás
RTY-741,860,17.20,csekk
JKL-222,430,8.60,-
MNO-555,1500,30.00,kártya
ABC-123,980,19.60,készpénz
XYZ-987,250,5.00,utalás
QWE-456,710,14.20,csekk
RTY-741,1320,26.40,-
JKL-222,600,12.00,kártya
MNO-555,400,8.00,készpénz
PAS-111,1800,36.00,utalás
TRE-909,940,18.80,csekk
GHJ-333,500,10.00,-
BNM-777,670,13.40,kártya
CVB-888,1450,29.00,készpénz
LKJ-654,780,15.60,utalás
HGF-321,1110,22.20,csekk
DSA-159,230,4.60,-
POI-753,890,17.80,kártya
UYT-852,1340,26.80,készpénz
REW-951,470,9.40,utalás
QAZ-147,1020,20.40,csekk
WSX-258,560,11.20,-
EDC-369,1600,32.00,kártya
RFV-741,690,13.80,készpénz
TGB-852,930,18.60,utalás
YHN-963,1250,25.00,csekk
UJM-159,340,6.80,-
IKO-753,780,15.60,kártya
PLM-951,1700,34.00,készpénz
ZXC-147,490,9.80,utalás
VBN-258,880,17.60,csekk
QWE-456,760,15.20,-
RTY-741,1430,28.60,kártya
ABC-123,540,10.80,készpénz
XYZ-987,1190,23.80,utalás
JKL-222,350,7.00,csekk
MNO-555,910,18.20,-
PAS-111,1280,25.60,kártya
TRE-909,610,12.20,készpénz
GHJ-333,1550,31.00,utalás
BNM-777,720,14.40,csekk
CVB-888,470,9.40,-
LKJ-654,1360,27.20,kártya
HGF-321,840,16.80,készpénz
DSA-159,260,5.20,utalás
POI-753,980,19.60,csekk
UYT-852,510,10.20,-
REW-951,1480,29.60,kártya
QAZ-147,690,13.80,készpénz
WSX-258,1120,22.40,utalás
EDC-369,390,7.80,csekk
RFV-741,870,17.40,-
TGB-852,1310,26.20,kártya
YHN-963,640,12.80,készpénz
UJM-159,1590,31.80,utalás
IKO-753,720,14.40,csekk
PLM-951,450,9.00,-
ZXC-147,1080,21.60,kártya
VBN-258,580,11.60,készpénz
ABC-123,1490,29.80,utalás
XYZ-987,760,15.20,csekk
QWE-456,300,6.00,-
RTY-741,950,19.00,kártya
JKL-222,1230,24.60,készpénz
MNO-555,670,13.40,utalás
PAS-111,540,10.80,csekk
TRE-909,1420,28.40,-
GHJ-333,810,16.20,kártya
BNM-777,250,5.00,készpénz
CVB-888,1190,23.80,utalás
LKJ-654,930,18.60,csekk
HGF-321,480,9.60,-
DSA-159,1370,27.40,kártya
POI-753,620,12.40,készpénz
UYT-852,1040,20.80,utalás
REW-951,730,14.60,csekk
QAZ-147,1660,33.20,-
WSX-258,580,11.60,kártya
EDC-369,910,18.20,készpénz
RFV-741,1450,29.00,utalás
TGB-852,340,6.80,csekk
YHN-963,1270,25.40,-
UJM-159,790,15.80,kártya
IKO-753,560,11.20,készpénz
PLM-951,980,19.60,utalás
ZXC-147,420,8.40,csekk
VBN-258,1520,30.40,-
ABC-123,610,12.20,kártya
XYZ-987,1180,23.60,készpénz
QWE-456,860,17.20,utalás
RTY-741,290,5.80,csekk
JKL-222,1540,30.80,-
MNO-555,740,14.80,kártya
PAS-111,990,19.80,készpénz
TRE-909,530,10.60,utalás
GHJ-333,1210,24.20,csekk
BNM-777,680,13.60,-
